Date,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
2020-05-23,Oklahoma,US,2020-05-24 02:32:48,35.5653,-96.9289,5960,311,4645,1004.0,40,150.6202597896219,160903,926,5.218120805369128,84000040,USA,4066.317392773412,15.536912751677852
2020-05-23,Oregon,US,2020-05-24 02:32:48,44.571999999999996,-122.0709,3888,147,1376,2365.0,41,92.18213463760306,110207,740,3.7808641975308643,84000041,USA,2612.94148971356,19.032921810699587
2020-05-23,Pennsylvania,US,2020-05-24 02:32:48,40.5908,-77.2098,71009,5112,39519,26378.0,42,554.6716217300296,388452,,7.19908743962033,84000042,USA,3034.3097467120147,
2020-05-23,Puerto Rico,US,2020-05-24 02:32:48,18.2208,-66.5901,3100,127,,2973.0,72,105.67912816764664,3100,,4.096774193548387,630,PRI,105.67912816764664,
2020-05-23,Rhode Island,US,2020-05-24 02:32:48,41.6809,-71.5118,13952,597,1106,12249.0,44,1317.0203547232718,130132,1557,4.278956422018348,84000044,USA,12284.008945014966,11.159690366972477
2020-05-23,South Carolina,US,2020-05-24 02:32:48,33.8569,-80.945,9895,425,5743,3727.0,45,192.18391233228337,158910,1534,4.295098534613441,84000045,USA,3086.4017694515564,15.50277918140475
2020-05-23,South Dakota,US,2020-05-24 02:32:48,44.2998,-99.4388,4464,50,3336,1078.0,46,504.6012079230528,33528,358,1.1200716845878136,84000046,USA,3789.934878862929,8.019713261648745
2020-05-23,Tennessee,US,2020-05-24 02:32:48,35.7478,-86.6923,19785,329,12745,6711.0,47,289.7129286792224,373758,1573,1.6628759160980542,84000047,USA,5472.960565948386,7.950467525903462
2020-05-23,Texas,US,2020-05-24 02:32:48,31.0545,-97.5635,54854,1480,32277,21021.0,48,188.90959029663557,762706,,2.6982620125602454,84000048,USA,2630.3942963485056,
2020-05-23,Utah,US,2020-05-24 02:32:48,40.15,-111.8624,8260,97,4898,3265.0,49,257.6452966632751,190779,1053,1.1743341404358354,84000049,USA,5950.764170959195,12.74818401937046
